time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
2.1,0.858907,0.732634,-0.073447,-0.730788,0.386626,-0.282362,-0.216162,0.457664
2.11,0.866229,0.731863,-0.0807492,-0.729629,0.383792,-0.284501,-0.211555,0.463792
2.12,0.873544,0.731019,-0.0880392,-0.728359,0.380936,-0.286593,-0.206887,0.469765
2.13,0.880849,0.730102,-0.095316,-0.726978,0.37806,-0.288638,-0.20216,0.475583
2.14,0.888145,0.729113,-0.102578,-0.725487,0.375163,-0.290636,-0.197376,0.481245
2.15,0.895431,0.728051,-0.109825,-0.723886,0.372247,-0.292585,-0.192536,0.486753
2.16,0.902706,0.726916,-0.117056,-0.722174,0.369312,-0.294486,-0.187641,0.492105
2.17,0.909969,0.72571,-0.124268,-0.720351,0.366358,-0.296338,-0.182694,0.497302
2.18,0.91722,0.724431,-0.131462,-0.718418,0.363385,-0.29814,-0.177696,0.502345
2.19,0.924458,0.72308,-0.138636,-0.716375,0.360395,-0.299892,-0.172648,0.507231
2.2,0.931682,0.721658,-0.14579,-0.714221,0.357388,-0.301593,-0.167552,0.511963
2.21,0.938891,0.720165,-0.152921,-0.711957,0.354363,-0.303243,-0.162409,0.51654
2.22,0.946085,0.7186,-0.160028,-0.709583,0.351323,-0.304841,-0.157221,0.520961
2.23,0.953262,0.716964,-0.167112,-0.707098,0.348267,-0.306387,-0.15199,0.525228
2.24,0.960424,0.715258,-0.17417,-0.704502,0.345195,-0.307881,-0.146717,0.529339
2.25,0.967567,0.713481,-0.181201,-0.701796,0.342109,-0.309321,-0.141404,0.533295
2.26,0.974693,0.711634,-0.188205,-0.69898,0.339009,-0.310709,-0.136052,0.537096
2.27,0.9818,0.709717,-0.195181,-0.696053,0.335895,-0.312042,-0.130663,0.540742
2.28,0.988887,0.70773,-0.202126,-0.693016,0.332768,-0.313322,-0.125238,0.544232
2.29,0.995954,0.705674,-0.209041,-0.689868,0.329629,-0.314547,-0.119778,0.547568
2.3,1.003,0.70355,-0.215923,-0.68661,0.326478,-0.315717,-0.114287,0.550748
2.31,1.01002,0.701356,-0.222772,-0.683241,0.323315,-0.316832,-0.108764,0.553774
2.32,1.01703,0.699094,-0.229588,-0.679762,0.320141,-0.317892,-0.103212,0.556644
2.33,1.02401,0.696764,-0.236367,-0.676173,0.316957,-0.318897,-0.0976316,0.559359
2.34,1.03096,0.694367,-0.243111,-0.672473,0.313763,-0.319845,-0.0920251,0.561918
2.35,1.03789,0.691902,-0.249816,-0.668662,0.310561,-0.320737,-0.0863938,0.564323
2.36,1.0448,0.689371,-0.256484,-0.664741,0.307349,-0.321573,-0.0807392,0.566573
2.37,1.05168,0.686773,-0.263111,-0.66071,0.304129,-0.322352,-0.0750629,0.568667
2.38,1.05854,0.684109,-0.269697,-0.656568,0.300902,-0.323074,-0.0693664,0.570606
2.39,1.06536,0.681379,-0.276242,-0.652316,0.297668,-0.323739,-0.0636513,0.57239
2.4,1.07216,0.678584,-0.282743,-0.647953,0.294427,-0.324347,-0.0579191,0.574019
